timestamp,symbol,close,open,high,low,close_less_than_ma10_5m,ma10_5m_less_than_ma30_5m,ma30_5m_less_than_ma60_5m,change_rate_5m,boll_range_rate_5m,close_ma60_rate_5m,close_ma60_rate_4h,volume_ma20_rate_5m,volume_ma20_rate_4h,rsi_4h,close_ma30_rate_1d
1672531200000,ETHUSDT,1196.32,1196.13,1196.32,1195.65,0,0,1,-0.00041,0.00187,0.00035,-0.00984,2.33761,0.39828,40.33,-0.03156
1672531500000,ETHUSDT,1195.38,1196.31,1196.69,1194.9,1,0,1,-0.00079,0.00187,-0.00044,-0.00984,2.28506,0.39828,40.33,-0.03156
1672531800000,ETHUSDT,1194.55,1195.38,1195.81,1194.55,1,0,1,-0.0007,0.00198,-0.00105,-0.00984,0.75185,0.39828,40.33,-0.03156
1672532100000,ETHUSDT,1195.98,1194.55,1195.98,1194.31,0,0,1,0.00119,0.00203,0.00015,-0.00984,1.89214,0.39828,40.33,-0.03156
1672532400000,ETHUSDT,1196.06,1195.98,1196.37,1195.97,0,0,1,0.00006,0.00204,0.00021,-0.00984,0.47071,0.39828,40.33,-0.03156
1672532700000,ETHUSDT,1196.61,1196.06,1196.7,1196.06,0,0,1,0.00045,0.00216,0.00067,-0.00984,1.2592,0.39828,40.33,-0.03156
1672533000000,ETHUSDT,1194.36,1196.62,1196.62,1193.72,1,0,1,-0.00189,0.00231,-0.00121,-0.00984,1.54268,0.39828,40.33,-0.03156
1672533300000,ETHUSDT,1194.22,1194.37,1194.43,1192.72,1,0,1,-0.00012,0.00246,-0.00133,-0.00984,3.56504,0.39828,40.33,-0.03156
1672533600000,ETHUSDT,1193.64,1194.22,1194.22,1193.02,1,0,1,-0.00049,0.00269,-0.00173,-0.00984,1.09809,0.39828,40.33,-0.03156
1672533900000,ETHUSDT,1194.64,1193.64,1195.06,1193.63,1,1,1,0.00083,0.0027,-0.00089,-0.00984,1.35661,0.39828,40.33,-0.03156
1672534200000,ETHUSDT,1194.82,1194.65,1195.06,1194.19,1,1,1,0.00015,0.00275,-0.00074,-0.00984,1.20847,0.39828,40.33,-0.03156
1672534500000,ETHUSDT,1194.09,1194.82,1195.04,1194.09,1,1,1,-0.00062,0.00289,-0.00135,-0.00984,0.70128,0.39828,40.33,-0.03156
1672534800000,ETHUSDT,1194.1,1194.09,1194.84,1193.84,1,1,1,0,0.00302,-0.00126,-0.00984,0.9548,0.39828,40.33,-0.03156
1672535100000,ETHUSDT,1195.69,1194.11,1195.75,1194.1,0,1,1,0.00133,0.00298,0.00007,-0.00984,1.18748,0.39828,40.33,-0.03156
1672535400000,ETHUSDT,1195.38,1195.7,1195.75,1195.38,0,1,1,-0.00026,0.00298,-0.00019,-0.00984,0.67033,0.39828,40.33,-0.03156
1672535700000,ETHUSDT,1195.38,1195.38,1195.49,1195.23,0,1,1,0,0.00297,-0.00019,-0.00984,0.266,0.39828,40.33,-0.03156
1672536000000,ETHUSDT,1195.6,1195.37,1195.61,1195.01,0,1,1,0.00018,0.00297,0.00008,-0.00984,0.59647,0.39828,40.33,-0.03156
1672536300000,ETHUSDT,1195.45,1195.6,1195.61,1195.29,0,1,1,-0.00013,0.0029,-0.00005,-0.00984,0.41893,0.39828,40.33,-0.03156
1672536600000,ETHUSDT,1195.14,1195.45,1195.47,1195.13,0,1,1,-0.00026,0.00288,-0.00031,-0.00984,0.50882,0.39828,40.33,-0.03156
1672536900000,ETHUSDT,1194.73,1195.14,1195.58,1194.72,1,1,1,-0.00035,0.00288,-0.00057,-0.00984,0.85384,0.39828,40.33,-0.03156
1672537200000,ETHUSDT,1194.92,1194.73,1195.32,1194.72,1,1,1,0.00015,0.00262,-0.00041,-0.00984,0.59394,0.39828,40.33,-0.03156
1672537500000,ETHUSDT,1195.53,1194.92,1195.54,1194.92,0,1,1,0.00051,0.00246,0.0001,-0.00984,0.29877,0.39828,40.33,-0.03156
1672537800000,ETHUSDT,1195.35,1195.54,1195.7,1195.26,0,0,0,-0.00016,0.00246,0.00004,-0.00984,0.55826,0.39828,40.33,-0.03156
1672538100000,ETHUSDT,1196.02,1195.35,1196.37,1195.35,0,0,0,0.00056,0.00252,0.0006,-0.00984,0.86259,0.39828,40.33,-0.03156
1672538400000,ETHUSDT,1194.21,1196.01,1196.02,1194.11,1,0,1,-0.00152,0.00252,-0.00092,-0.00984,2.71888,0.39828,40.33,-0.03156
1672538700000,ETHUSDT,1194.37,1194.21,1194.37,1194.2,1,1,0,0.00013,0.00244,-0.0007,-0.00984,0.30318,0.39828,40.33,-0.03156
1672539000000,ETHUSDT,1195.22,1194.36,1195.44,1194.12,0,1,0,0.00071,0.00214,0.00001,-0.00984,1.18652,0.39828,40.33,-0.03156
1672539300000,ETHUSDT,1195.33,1195.21,1195.38,1195.02,0,1,1,0.00009,0.0021,0.0001,-0.00984,0.36497,0.39828,40.33,-0.03156
1672539600000,ETHUSDT,1195.38,1195.33,1195.64,1195.18,0,0,1,0.00004,0.00207,0.00015,-0.00984,1.1305,0.39828,40.33,-0.03156
1672539900000,ETHUSDT,1196.12,1195.38,1196.13,1195.38,0,0,1,0.00061,0.00192,0.00076,-0.00984,0.86733,0.39828,40.33,-0.03156
1672540200000,ETHUSDT,1196.74,1196.13,1196.74,1196.05,0,0,1,0.00051,0.00221,0.00128,-0.00984,0.98934,0.39828,40.33,-0.03156
1672540500000,ETHUSDT,1195.9,1196.74,1196.74,1195.9,0,0,1,-0.00071,0.00225,0.00058,-0.00984,0.81402,0.39828,40.33,-0.03156
1672540800000,ETHUSDT,1195.27,1195.9,1195.91,1195.27,1,0,0,-0.00053,0.00206,0.00005,-0.00984,0.6226,0.39828,40.33,-0.03156
1672541100000,ETHUSDT,1195.66,1195.28,1195.71,1195.27,0,0,1,0.00032,0.00188,0.00038,-0.00984,0.62182,0.39828,40.33,-0.03156
1672541400000,ETHUSDT,1195.45,1195.66,1195.72,1195.44,1,0,1,-0.00018,0.00186,0.00012,-0.00984,0.60891,0.39828,40.33,-0.03156
1672541700000,ETHUSDT,1195.4,1195.45,1195.45,1195.33,1,0,1,-0.00005,0.00186,0.00008,-0.00984,0.67897,0.39828,40.33,-0.03156
1672542000000,ETHUSDT,1193.09,1195.41,1195.41,1192.28,1,0,1,-0.00194,0.00248,-0.00177,-0.00984,6.12479,0.39828,40.33,-0.03156
1672542300000,ETHUSDT,1193.57,1193.09,1193.57,1192.85,1,0,1,0.0004,0.00275,-0.00137,-0.00984,1.2497,0.39828,40.33,-0.03156
1672542600000,ETHUSDT,1193.2,1193.57,1193.57,1193.13,1,0,1,-0.00031,0.00308,-0.00168,-0.00984,1.3018,0.39828,40.33,-0.03156
1672542900000,ETHUSDT,1191.95,1193.19,1193.2,1191.71,1,1,1,-0.00105,0.00379,-0.00264,-0.00984,2.15253,0.39828,40.33,-0.03156
1672543200000,ETHUSDT,1193.39,1191.95,1193.4,1191.94,1,1,1,0.0012,0.00395,-0.00144,-0.00984,1.75472,0.39828,40.33,-0.03156
1672543500000,ETHUSDT,1193.38,1193.4,1193.4,1193.23,1,1,1,-0.00001,0.0041,-0.00136,-0.00984,0.89901,0.39828,40.33,-0.03156
1672543800000,ETHUSDT,1193.41,1193.39,1193.51,1193.17,1,1,1,0.00002,0.00417,-0.00134,-0.00984,0.76945,0.39828,40.33,-0.03156
1672544100000,ETHUSDT,1193.86,1193.4,1193.87,1193.31,0,1,1,0.00037,0.00417,-0.00096,-0.00984,0.71294,0.39828,40.33,-0.03156
1672544400000,ETHUSDT,1194,1193.87,1194,1193.82,0,1,1,0.00011,0.00405,-0.00076,-0.00984,0.36906,0.39828,40.33,-0.03156
1672544700000,ETHUSDT,1194.04,1194,1194.04,1193.81,0,1,1,0.00003,0.00406,-0.00072,-0.00984,0.76887,0.39828,40.33,-0.03156
1672545000000,ETHUSDT,1194.39,1194.03,1194.39,1193.75,0,1,1,0.00029,0.00406,-0.00043,-0.00984,0.79155,0.39828,40.33,-0.03156
1672545300000,ETHUSDT,1194.04,1194.38,1194.39,1193.95,0,1,1,-0.0003,0.00404,-0.00072,-0.00984,0.31232,0.39828,40.33,-0.03156
1672545600000,ETHUSDT,1193.79,1194.05,1194.05,1193.45,0,1,1,-0.00021,0.00402,-0.00093,-0.01189,0.62723,0.58914,33.92,-0.03156
1672545900000,ETHUSDT,1192.8,1193.79,1193.8,1192.79,1,1,1,-0.00083,0.00409,-0.00176,-0.01189,1.40092,0.58914,33.92,-0.03156
1672546200000,ETHUSDT,1192.64,1192.79,1193.25,1192.63,1,1,1,-0.00014,0.00401,-0.00181,-0.01189,1.20261,0.58914,33.92,-0.03156
1672546500000,ETHUSDT,1192.51,1192.63,1192.85,1192.24,1,1,1,-0.00011,0.00363,-0.00192,-0.01189,1.10391,0.58914,33.92,-0.03156
1672546800000,ETHUSDT,1192.18,1192.51,1192.62,1190.57,1,1,1,-0.00028,0.00349,-0.00211,-0.01189,3.62724,0.58914,33.92,-0.03156
1672547100000,ETHUSDT,1192.18,1192.18,1192.8,1192.17,1,1,1,0,0.00346,-0.00211,-0.01189,0.35941,0.58914,33.92,-0.03156
1672547400000,ETHUSDT,1192.25,1192.18,1192.25,1192.16,1,1,1,0.00005,0.00319,-0.00197,-0.01189,0.1558,0.58914,33.92,-0.03156
1672547700000,ETHUSDT,1192.87,1192.24,1192.93,1192.24,1,1,1,0.00052,0.00283,-0.00145,-0.01189,0.67916,0.58914,33.92,-0.03156
1672548000000,ETHUSDT,1192.04,1192.87,1192.87,1192.03,1,1,1,-0.0007,0.00246,-0.00206,-0.01189,0.41203,0.58914,33.92,-0.03156
1672548300000,ETHUSDT,1192.26,1192.03,1192.27,1192.03,1,1,1,0.00018,0.00255,-0.0018,-0.01189,0.3276,0.58914,33.92,-0.03156
1672548600000,ETHUSDT,1192.44,1192.27,1192.87,1192.19,0,1,1,0.00015,0.00255,-0.00165,-0.01189,0.93256,0.58914,33.92,-0.03156
1672548900000,ETHUSDT,1192.92,1192.45,1192.93,1191.98,0,1,1,0.0004,0.00255,-0.00116,-0.01189,0.83636,0.58914,33.92,-0.03156
1672549200000,ETHUSDT,1193.35,1192.92,1193.35,1192.71,0,1,1,0.00036,0.00244,-0.0008,-0.01189,0.46348,0.58914,33.92,-0.03156
1672549500000,ETHUSDT,1193.15,1193.35,1193.53,1193.14,0,1,1,-0.00017,0.00243,-0.00088,-0.01189,0.41435,0.58914,33.92,-0.03156
1672549800000,ETHUSDT,1193.29,1193.15,1193.34,1192.98,0,1,1,0.00011,0.00242,-0.00077,-0.01189,0.54681,0.58914,33.92,-0.03156
1672550100000,ETHUSDT,1193.25,1193.29,1193.72,1193.24,0,1,1,-0.00004,0.00241,-0.0008,-0.01189,0.61916,0.58914,33.92,-0.03156
1672550400000,ETHUSDT,1193.57,1193.24,1193.57,1193.13,0,1,1,0.00026,0.00236,-0.00045,-0.01189,0.30618,0.58914,33.92,-0.03156
1672550700000,ETHUSDT,1194.18,1193.56,1194.26,1193.56,0,1,1,0.00051,0.00241,0.00006,-0.01189,0.62282,0.58914,33.92,-0.03156
